,회사명,회계년도,자산총계,자본총계,부채총계,매출액증가율,영업활동현금흐름,보통주총배당금,상장일,종가,최대주주지분율,외국인지분율,소액주주주식수,우선주자본금,발행주식 보통주,ROA
141,고려산업,2019,2.0649E+11,95822999000,1.10667E+11,21.48,10447484000,740143000,1991-01-14,3360,47.4,6.18,10870270,0,24939425,2.25
142,고려산업,2020,2.16577E+11,1.02639E+11,1.13938E+11,-1.01,-3095279000,863500000,1991-01-14,4900,47.4,1.04,11824440,0,24939425,3.2
143,고려산업,2021,2.38595E+11,1.06841E+11,1.31754E+11,12.06,14794040000,986857000,1991-01-14,2910,47.4,1.75,12228326,0,24939425,1.99
144,금강철강,2010,1.04301E+11,75372858000,28928464000,0,-5833932000,1693002000,2002-01-04,2350,53.23,0.34,5353758,0,18720000,6.02
145,금강철강,2011,1.25757E+11,82945701000,42810957000,14.4,7034980000,1735000000,2002-01-04,2645,53.23,0.95,4128844,0,18720000,7.7
146,금강철강,2012,1.28351E+11,90698417000,37652580000,-11.49,9752237000,1759000000,2002-01-04,2365,53.23,0.07,5911978,0,18720000,6.66
147,금강철강,2013,1.30946E+11,95973215000,34973048000,-3.77,12348039000,1751281000,2002-01-04,2550,53.23,0.24,5500102,0,18720000,5.94
148,금강철강,2014,1.2785E+11,99911939000,27937945000,-18.72,17008188000,1751281000,2002-01-04,2800,53.23,0.12,6330356,0,18720000,4.53
149,금강철강,2015,1.31914E+11,1.04704E+11,27210113000,-20.48,5386660000,1749781000,2002-01-04,4300,53.23,1.2,6154815,0,18720000,5.21
150,금강철강,2016,1.34874E+11,1.08919E+11,25955244000,2.01,8171671000,1760068000,2002-01-04,5350,53.23,1.06,6599792,0,18720000,4.23
151,금강철강,2017,1.29984E+11,1.07468E+11,22516096000,21.2,-7321577000,1720051000,2002-01-04,3675,53.31,1.92,5760533,0,18720000,2.25
152,금강철강,2018,1.33399E+11,1.09047E+11,24352520000,-1.1,15230573000,1671130000,2002-01-04,3810,53.31,1.91,5694421,0,18720000,3.99
153,금강철강,2019,1.36605E+11,1.10073E+11,26532179000,-12.16,4950039000,1656884000,2002-01-04,3555,53.31,2.18,5289780,0,18720000,3.25
154,금강철강,2020,1.38738E+11,1.1083E+11,27907932000,2.24,3105150000,1620300000,2002-01-04,3495,53.31,1.97,5151391,0,18720000,2.07
155,금강철강,2021,1.50912E+11,1.196E+11,31312522000,34.84,13629518000,1944360000,2002-01-04,5100,52.23,1.37,3724025,0,18720000,7.04
156,대상홀딩스,2010,5.53961E+11,3.97299E+11,1.56662E+11,-92.85,11232473000,5431881000,2005-08-17,3260,66.25,3.64,10574581,913482000,36212538,1.88
157,대상홀딩스,2011,5.76989E+11,4.1512E+11,1.61868E+11,140.74,13813276000,5431880000,2005-08-17,3975,66.25,3.62,9537673,913482000,36212538,4.82
158,대상홀딩스,2012,6.0335E+11,4.40239E+11,1.63111E+11,16.47,26657481000,4345504000,2005-08-17,6400,67.77,3.61,8708156,913482000,36212538,6.44
159,대상홀딩스,2013,2.08947E+12,8.96206E+11,1.19327E+12,761.39,1.98753E+11,4345505000,2005-08-17,8320,68.21,3.78,9984046,913482000,36212538,6.29
160,대상홀딩스,2014,2.18012E+12,9.68958E+11,1.21116E+12,4.12,1.83224E+11,6156131000,2005-08-17,16800,66.55,5.64,8915563,913482000,36212538,4.36
161,대상홀딩스,2015,2.48043E+12,9.98043E+11,1.48238E+12,3.13,1.16455E+11,6156131000,2005-08-17,19150,66.53,4.56,8138777,913482000,36212538,2.27
162,대상홀딩스,2016,2.68929E+12,1.05023E+12,1.63906E+12,8.73,78200218000,6156131000,2005-08-17,10300,66.53,4.97,9365802,913482000,36212538,2.6
163,대상홀딩스,2017,2.65114E+12,1.07326E+12,1.57787E+12,1.98,1.85335E+11,6518257000,2005-08-17,9950,66.53,5.29,10187118,913482000,36212538,2.22
164,대상홀딩스,2018,2.62959E+12,1.09478E+12,1.53481E+12,0.42,1.42678E+11,6880382000,2005-08-17,7860,66.9,5.39,9461345,913482000,36212538,1.73
