,roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,주식수익률변동성,roa변동성,외국인지분율,dps,시가배당률,dy변화,price
165,1.21,0.00164019,6.76,0.741050112,-0.209627329,0.436889359,0.061432751,0.575007246,4.43,28,1.40,-0.030653741,2005
166,1.81,-0.016871758,5.48,0.732094378,0.083497053,0.450446848,0.038951114,0.456216323,3.63,47,2.16,0.291565572,2172
167,0.65,0.067330977,-8.2,0.717212828,0.092475068,0.48121362,0.052719609,0.590028248,4.19,37,1.56,-0.220240792,2373
168,0.42,-0.007902345,-3.15,0.713385383,0.03526971,0.495009608,0.041609864,0.580114931,4.77,49,1.99,0.14792013,2459
169,-1.13,-0.004753767,-1.15,0.724411032,-0.19238477,0.421179245,0.032880886,0.745050334,3.34,40,2.01,0.009331327,1986
170,1.64,0.071793369,-4.97,0.628421679,0.191066998,0.473697182,0.029579678,0.968142551,2.68,60,2.54,0.138549739,2365
171,0.91,0.009139715,0.81,0.608124073,0.020833333,0.481463213,0.022399481,1.388272308,2.67,51,2.11,-0.135458547,2415
172,0.85,0.011109243,-5.06,0.601943723,-0.224489796,0.373223653,0.030420004,1.435699597,2.33,51,2.72,0.182835828,1873
173,1.27,0.007444089,-0.47,0.593819709,0.05,0.381416802,0.053837887,0.439810565,1.83,63,3.20,0.118639567,1966
174,1.98,0.056495998,0.84,0.582489705,0.15037594,0.431605788,0.049957721,0.227156334,1.9,83,3.62,0.116259806,2295
175,1.71,-0.010013878,0,0.56761962,0.315904139,0.533280063,0.063903826,0.571168393,2.4,110,3.64,-0.058594164,3020
176,0.64,0.009125178,3.41,0.338789564,-0.066298343,0.511092978,0.042273322,4.952396726,12.21,3245,1.92,0.041964199,169000
177,3.64,0.022968415,18.4,0.329222288,-0.177514793,0.389251225,0.05270052,3.554898029,8.23,2496,1.80,-0.041964199,139000
178,2.05,0.06710654,-2.84,0.323107443,0.104316547,0.427124633,0.038849361,2.586664519,8.9,1997,1.30,-0.196710294,153500
179,4.1,0.079484552,0.57,0.306186707,0.013029316,0.420675944,0.046223604,1.50089973,14.89,2496,1.61,0.126441098,155500
180,3.81,0.059878071,-5.04,0.26636372,0.183279743,0.473362693,0.061211787,1.075654839,15.55,1997,1.09,-0.222186155,184000
181,3.11,0.099333421,-2.22,0.237001942,-0.02173913,0.459588123,0.027401372,1.10936919,12.62,1997,1.11,0.009523882,180000
182,5.86,0.049646611,0.41,0.186675551,-0.075,0.39608929,0.020234624,0.508953174,13.41,2000,1.20,0.041769413,166500
183,5.74,0.013737889,6.63,0.18558971,0.057057057,0.397113504,0.025792895,1.429160593,13.55,2500,1.42,0.09531018,176000
184,1.77,0.003315044,8.01,0.244013093,-0.161931818,0.328059033,0.038182301,1.554230785,13.73,2000,1.36,-0.025105921,147500
185,1.99,0.043956231,3.9,0.280289986,0.125423729,0.359298616,0.062528963,2.327495077,10.47,2000,1.20,-0.070204259,166000
186,7.26,0.021684267,14.54,0.333671308,-0.069277108,0.296502002,0.040984616,2.23128513,8.13,2500,1.62,0.174716957,154500
187,16.13,0.116416378,20.71,0.311822057,0.339939024,1.254641439,0.039010195,2.93500142,26.91,366,0.83,-0.059316577,43950
188,13.18,0.188795375,-11.27,0.242096366,0.072810011,1.127368182,0.025565201,0.863153134,26.32,366,0.78,-0.033901552,47150
189,8.53,0.065101962,8.56,0.25525824,0.162248144,1.183872058,0.038565181,1.9185498,25.22,313,0.57,-0.115630182,54800
190,6.83,0.081937293,4,0.246541544,-0.27919708,0.791126791,0.027562864,3.83155756,28.82,311,0.79,0.127058878,39500
191,7.85,0.067706152,0,0.232993469,0.034177215,0.744593592,0.045980841,3.287222739,34.1,359,0.88,0.055262679,40850
192,6.01,0.073103996,0.37,0.23927822,-0.084455324,0.633507157,0.026142702,0.855647903,36.52,359,0.96,0.042111485,37400
193,5.97,0.072660117,15.76,0.222805256,-0.044117647,0.562256575,0.021517444,0.921809814,36.64,410,1.15,0.088728116,35750
194,8,0.117467053,6.28,0.225167793,0.005594406,0.512299566,0.035016768,1.074057727,36.21,513,1.43,0.119877277,35950
195,5.64,0.036120266,-3.55,0.301848162,0.037552156,0.495121789,0.03797636,1.160646372,37.73,513,1.38,-0.021142437,37300
196,4.41,0.122295521,9.99,0.24972001,0.847184987,0.848985196,0.068053674,1.277980177,27.53,500,0.73,-0.302029521,68900
197,5.33,0.006882052,7.92,0.280459627,0.101596517,0.876732673,0.07908888,1.824399445,26.11,600,0.79,0.034094211,75900
198,6.66,0.258819256,2.71,0.477439875,-0.184432938,0.89733663,0.038300826,1.720765334,40.96,3017,5.78,0.175037446,52211
199,4.47,0.156263577,2.27,0.497773055,0.077742279,0.957908402,0.032091443,1.536370181,44.14,3011,5.35,-0.067502003,56270
200,6.17,0.133899121,1.85,0.466953888,0.508171177,1.310936536,0.038534633,1.618775257,48.01,3063,3.61,-0.343198719,84866
201,6.6,0.131611742,3.38,0.454275407,0.165234483,1.419164795,0.035671254,1.149362142,43.47,3065,3.10,-0.119014108,98887
202,5.36,0.132188416,-0.16,0.462094229,-0.195891003,1.131819145,0.034362968,1.126336243,39.38,3254,4.09,0.225358392,79516
203,5.54,0.135574499,-0.26,0.485058007,0.03942768,1.1222754,0.029136708,0.629629521,40.78,3245,3.93,-0.034206755,82652
