번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1647","007660","이수페타시스","KOSPI","2021","12","전기전자","2.7",,"1000",,,,"63246419",
"1648","005950","이수화학","KOSPI","2021","12","화학","1.1",,"5000","500","3.4","14.093","27959544","13602978000"
"1649","015020","이스타코","KOSPI","2021","12","서비스업","0.43",,"500",,,,"42851600",
"1650","047560","이스트소프트","KOSDAQ","2021","12","디지털컨텐츠","0.1",,"500",,,,"11375132",
"1651","900110","이스트아시아홀딩스","KOSDAQ","2021","12","금융","1.34",,"무액면",,,,"170480489",
"1652","093230","이아이디","KOSPI","2021","12","유통업","1.59",,"200",,,,"940724905",
"1653","341310","이앤에치","KONEX","2021","12","-",,,"100",,,,"17293400",
"1654","101360","이엔드디","KOSDAQ","2021","12","화학","0.41",,"500",,,,"10320383",
"1655","102710","이엔에프테크놀로지","KOSDAQ","2021","12","화학","0.41",,"500","150","0.4","11.883","14287836","2143175400"
"1656","066980","이엔코퍼레이션","KOSDAQ","2021","12","디지털컨텐츠","0.1",,"500",,,,"38580273",
"1657","074610","이엔플러스","KOSPI","2021","12","기계","0.76",,"500",,,,"51353145",
"1658","063760","이엘피","KOSDAQ","2021","12","반도체","0.42",,"500","60","0.79","-74.509","9325130","529755600"
"1659","123570","이엠넷","KOSDAQ","2021","12","기타서비스","0.5",,"500","200","3.2","16.6","22276078","4370703800"
"1660","083470","이엠앤아이","KOSDAQ","2021","12","IT부품","0.36",,"500",,,,"15712257",
"1661","095190","이엠코리아","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"42581037",
"1662","091120","이엠텍","KOSDAQ","2021","12","IT부품","0.36",,"500","150","0.5","6.685","15887936","2282135400"
"1663","232530","이엠티","KONEX","2021","12","-",,,"500",,,,"14969643",
"1664","102460","이연제약","KOSPI","2021","12","의약품","0.12",,"500","250","0.7","82.413","17998577","4563189250"
"1665","039030","이오테크닉스","KOSDAQ","2021","12","반도체","0.42",,"500","900","0.8","15.202","12319550","10998839700"
"1666","294090","이오플로우","KOSDAQ","2021","12","의료·정밀기기","0.32",,"100",,,,"11570220",
"1667","088290","이원컴포텍","KOSDAQ","2021","12","운송장비·부품","0.36",,"500",,,,"22636305",
"1668","084680","이월드","KOSPI","2021","12","기타제조업",,,"1000",,,,"141806193",
"1669","181340","이즈미디어","KOSDAQ","2021","12","의료·정밀기기","0.32",,"500",,,,"7120100",
"1670","353810","이지바이오","KOSDAQ","2021","12","음식료·담배","0.86",,"100","75","1.63","23.614","34191720","2560284000"
"1671","377330","이지트로닉스","KOSDAQ","2021","12","-",,,,,,,,
"1672","035810","이지홀딩스","KOSDAQ","2021","12","음식료·담배","0.86",,"500","50","1.26","35.369","65145845","3256809250"
"1673","160600","이큐셀","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"13780746",
"1674","092130","이크레더블","KOSDAQ","2021","12","기타서비스","0.5",,"500","2720","13.5","235.233","12043600","32758592000"
"1675","096040","이트론","KOSDAQ","2021","12","정보기기","0.73",,"200",,,,"527923748",
"1676","134060","이퓨쳐","KOSDAQ","2021","12","출판·매체복제","0.32",,"500",,,,"4769250",
"1677","001840","이화공영","KOSDAQ","2021","12","건설","1.48",,"500",,,,"19805760",
"1678","000760","이화산업","KOSPI","2021","12","유통업","1.59",,"5000",,,,"2800000",
"1679","024810","이화전기","KOSDAQ","2021","12","IT부품","0.36",,"200",,,,"83463623",
"1680","014990","인디에프","KOSPI","2021","12","섬유의복","0.53",,"500",,,,"70712995",
"1681","041830","인바디","KOSDAQ","2021","12","의료·정밀기기","0.32",,"500","200","0.8","7.667","13683782","2605369400"
"1682","352940","인바이오","KOSDAQ","2021","12","화학","0.41",,"500",,,,"10867730",
"1683","101140","인바이오젠","KOSPI","2021","12","유통업","1.59",,"500",,,,"53396820",
"1684","216400","인바이츠바이오코아","KONEX","2021","12","-",,,"500",,,,"7711315",
"1685","079950","인베니아","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"23200000",
"1686","277410","인산가","KOSDAQ","2021","12","음식료·담배","0.86",,"100","80","3.8","40.085","32087098","2563439360"
"1687","060150","인선이엔티","KOSDAQ","2021","12","기타서비스","0.5",,"500",,,,"46563612",
"1688","033230","인성정보","KOSDAQ","2021","12","컴퓨터서비스","0.55",,"500",,,,"39215380",
"1689","006490","인스코비","KOSPI","2021","12","통신업","4.59",,"500",,,,"109848100",
"1690","037330","인지디스플레","KOSDAQ","2021","12","IT부품","0.36",,"500","50","1.6","27.309","43885224","2159586200"
"1691","023800","인지컨트롤스","KOSPI","2021","12","운수장비","1.02",,"500","150","1.05","92.137","15333213","2203906950"
"1692","034590","인천도시가스","KOSPI","2021","12","전기가스업","4.22",,"5000","1250","4.5","138.769","4374754","5152498750"
"1693","211050","인카금융서비스","KOSDAQ","2021","12","-",,,"500",,,,"4493990",
"1694","083640","인콘","KOSDAQ","2021","12","통신장비","0.28",,"500",,,,"44658769",
